x
315
313
314
313
313
313
314
313
314
313
337
338
339
341
342
340
338
337
338
341
270
267
263
258
270
263
259
271
278
274
386
385
382
399
389
386
385
389
389
385
904
1317
817
1480
727
789
672
304
69
1180
1028
232
308
533
1277
722
251
593
564
243
